habitat_type,admin_unit_code,total_observations,unique_species,avg_temperature,avg_humidity
Forest,PRWI,2463,54,23.39533090494631,80.65533890222758
Forest,CHOH,2202,80,19.957583975726966,79.70676633815782
Forest,CATO,805,46,20.993291999390408,74.64037271345624
Forest,NACE,684,66,22.100000021750464,71.77163691827428
Forest,MANA,465,57,24.706021503735617,76.31763436922463
Forest,HAFE,422,47,21.81090052545919,77.22796196056203
Forest,GWMP,386,49,23.50000006423714,81.08963686691047
Forest,MONO,370,55,19.095405565725788,68.13810831018397
Forest,ANTI,333,46,21.873273190793334,71.36606689544769
Forest,ROCR,289,45,22.45328723023094,78.91245708003589
Forest,WOTR,127,27,21.47244123023326,78.78503958634504
Grassland,ANTI,3588,78,24.176672250530792,68.49389626323313
Grassland,MONO,3015,93,21.804079653928135,66.88865681864927
Grassland,MANA,1811,75,23.841523995654878,75.89983451122872
Grassland,HAFE,117,32,24.43247845641568,77.33846198187933
